query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
set	P54	FIFA World Cup is a member of which teams?	['Chile', 'South Korea', 'Austria', 'Bulgaria', 'England']	[[0], [2], [3], [4], [8]]	[[[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Chile']], [[7, 'FIFA World Cup team United States']], [[8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team England'], [8, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Bulgaria'], [8, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team Chile'], [8, 'FIFA World Cup team Austria']], [[7, 'FIFA World Cup team United States'], [8, 'FIFA World Cup team Austria']]]	1	1
min/max	P118	Who has played for the most leagues?	['Indiana']	None	[[[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Bulgaria']], [[7, 'FIFA World Cup team United States']], [[0, 'FIFA World Cup team England'], [2, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team England'], [3, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team England'], [4, 'FIFA World Cup team Chile']], [[0, 'FIFA World Cup team England'], [7, 'FIFA World Cup team United States']], [[2, 'FIFA World Cup team South Korea'], [7, 'FIFA World Cup team United States']], [[3, 'FIFA World Cup team Bulgaria'], [2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Bulgaria'], [4, 'FIFA World Cup team Chile']], [[3, 'FIFA World Cup team Bulgaria'], [7, 'FIFA World Cup team United States']], [[7, 'FIFA World Cup team United States'], [4, 'FIFA World Cup team Chile']]]	0	0
bool	P54	Is FIFA World Cup a member of United States?	['TRUE']	[[7]]	[[], [[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Chile']], [[7, 'FIFA World Cup team United States']], [[8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team England'], [8, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Bulgaria'], [8, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team Chile'], [0, 'FIFA World Cup team England']], [[4, 'FIFA World Cup team Chile'], [7, 'FIFA World Cup team United States']], [[4, 'FIFA World Cup team Chile'], [8, 'FIFA World Cup team Austria']], [[7, 'FIFA World Cup team United States'], [8, 'FIFA World Cup team Austria']]]	1	1
bool	P54	Does FIFA World Cup play for Türkmenabat?	['FALSE']	[[0], [2], [3], [4]]	[[[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Chile']]]	1	1
count	P54	How many teams has FC Girondins de Bordeaux played for?	[1]	[[4]]	[[[4, 'FC Girondins de Bordeaux team Lille']], [[5, 'FC Girondins de Bordeaux team Strasbourg']], [[8, 'FIFA World Cup team Belgium']], [[8, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team England']]]	1	1
count	P118	How many participants are there in fall?	[1]	None	[[]]	0	0
set	P54	List teams FIFA World Cup plays for	['Bulgaria', 'United States', 'Croatia']	[[0], [1], [3]]	[[[0, 'FIFA World Cup team Croatia']], [[1, 'FIFA World Cup team United States']], [[0, 'FIFA World Cup team Croatia'], [1, 'FIFA World Cup team United States']], [[0, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Croatia'], [4, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team United States'], [3, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team United States'], [4, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Bulgaria'], [4, 'FIFA World Cup team Sweden']]]	0	1
min/max	P54	Who has played for the most number of teams?	['FIFA World Cup']	[[1], [3], [6]]	[[[0, 'FIFA World Cup team Croatia']], [[1, 'FIFA World Cup team United States']], [[3, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Sweden']], [[5, 'FIFA World Cup team Turkey']], [[6, 'FIFA World Cup team Poland']], [[9, 'FIFA World Cup team England']], [[0, 'FIFA World Cup team Croatia'], [1, 'FIFA World Cup team United States']], [[0, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Croatia'], [4, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Turkey']], [[0, 'FIFA World Cup team Croatia'], [6, 'FIFA World Cup team Poland']], [[0, 'FIFA World Cup team Croatia'], [9, 'FIFA World Cup team England']], [[1, 'FIFA World Cup team United States'], [3, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team United States'], [4, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team United States'], [5, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team United States'], [6, 'FIFA World Cup team Poland']], [[1, 'FIFA World Cup team United States'], [9, 'FIFA World Cup team England']], [[3, 'FIFA World Cup team Bulgaria'], [4, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Bulgaria'], [5, 'FIFA World Cup team Turkey']], [[3, 'FIFA World Cup team Bulgaria'], [6, 'FIFA World Cup team Poland']], [[3, 'FIFA World Cup team Bulgaria'], [9, 'FIFA World Cup team England']], [[4, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Turkey']], [[4, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Poland']], [[4, 'FIFA World Cup team Sweden'], [9, 'FIFA World Cup team England']], [[5, 'FIFA World Cup team Turkey'], [6, 'FIFA World Cup team Poland']], [[5, 'FIFA World Cup team Turkey'], [9, 'FIFA World Cup team England']], [[6, 'FIFA World Cup team Poland'], [9, 'FIFA World Cup team England']]]	1	1
bool	P54	Is FIFA World Cup a member of FC Aşgabat?	['FALSE']	[[1]]	[[], [[0, 'FIFA World Cup team Croatia']], [[1, 'FIFA World Cup team United States']], [[3, 'FIFA World Cup team Bulgaria']]]	1	1
min/max	P118	What league has the fewest participants?	['zone 1']	None	[[[5, 'FIFA World Cup team Croatia']], [[5, 'FIFA World Cup team Croatia'], [1, 'FIFA World Cup team Brazil']]]	0	0
bool	P54	Is FIFA World Cup part of Croatia?	['TRUE']	[[5]]	[[], [[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Netherlands']], [[4, 'FIFA World Cup team Italy']], [[5, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Turkey']], [[7, '2010 FIFA World Cup team Cameroon']]]	1	1
count	P118	How many people play in National Basketball Association?	[]	None	[[]]	0	0
count	P54	How many people play for Italy?	[1]	None	[[]]	0	0
min/max	P54	What is the smallest team?	['Turkey', 'Argentina', 'Algeria', 'Yoshihiro Saito', 'Rijeka']	None	[[]]	0	0
min/max	P54	Who has played for the least number of different teams?	['AIK Fotboll']	[[2], [5], [8]]	[[[0, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team Argentina']], [[3, '2010 FIFA World Cup team Algeria']], [[5, 'FIFA World Cup team Portugal']], [[8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Turkey'], [1, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Portugal']], [[0, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Argentina'], [5, 'FIFA World Cup team Portugal']], [[1, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[3, '2010 FIFA World Cup team Algeria'], [5, 'FIFA World Cup team Portugal']], [[3, '2010 FIFA World Cup team Algeria'], [8, 'FIFA World Cup team Austria']], [[5, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Austria']]]	0	1
min/max	P54	Who has played for the most number of teams?	['2010 FIFA World Cup', '1997 World Artistic Gymnastics Championships', 'FIFA World Cup', 'FC Girondins de Bordeaux']	[[3], [4], [5], [9]]	[[[0, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team Argentina']], [[3, '2010 FIFA World Cup team Algeria']], [[5, 'FIFA World Cup team Portugal']], [[8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Turkey'], [1, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Turkey'], [3, '2010 FIFA World Cup team Algeria']], [[0, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Portugal']], [[0, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Argentina'], [5, 'FIFA World Cup team Portugal']], [[1, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[3, '2010 FIFA World Cup team Algeria'], [5, 'FIFA World Cup team Portugal']], [[3, '2010 FIFA World Cup team Algeria'], [8, 'FIFA World Cup team Austria']], [[5, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Austria']]]	0	1
min/max	P54	Who has played for the most number of teams?	['2010 FIFA World Cup', '1997 World Artistic Gymnastics Championships', 'FIFA World Cup']	[[3], [4], [5]]	[[[0, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team Argentina']], [[3, '2010 FIFA World Cup team Algeria']], [[5, 'FIFA World Cup team Portugal']], [[8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Turkey'], [1, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Turkey'], [3, '2010 FIFA World Cup team Algeria']], [[0, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Portugal']], [[0, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Argentina'], [5, 'FIFA World Cup team Portugal']], [[1, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[3, '2010 FIFA World Cup team Algeria'], [5, 'FIFA World Cup team Portugal']], [[3, '2010 FIFA World Cup team Algeria'], [8, 'FIFA World Cup team Austria']], [[5, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Austria']]]	0	1
set	P54	FIFA World Cup is a member of which teams?	['Croatia', 'Argentina', 'Turkey']	[[4], [8], [9]]	[[[0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay']], [[3, 'FIFA World Cup team Italy']], [[4, 'FIFA World Cup team Turkey']], [[5, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil']], [[7, 'FIFA World Cup team Uruguay']], [[8, 'FIFA World Cup team Croatia']], [[9, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[1, 'UEFA Euro 2016 team Poland'], [0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [3, 'FIFA World Cup team Italy']], [[1, 'UEFA Euro 2016 team Poland'], [5, 'FIFA World Cup team Bulgaria']], [[1, 'UEFA Euro 2016 team Poland'], [6, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [8, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']], [[4, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[7, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']], [[9, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Croatia']]]	1	1
bool	P54	Is FIFA World Cup part of Bulgaria?	[]	None	[[], [[0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay']], [[3, 'FIFA World Cup team Italy']]]	0	0
min/max	P54	What is the smallest team?	['Poland', 'Italy', 'Turkey']	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['FIFA World Cup']	[[0, 6], [2, 7], [5]]	[[[0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay']], [[3, 'FIFA World Cup team Italy']], [[4, 'FIFA World Cup team Turkey']], [[5, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil']], [[7, 'FIFA World Cup team Uruguay']], [[8, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Brazil'], [2, 'FIFA World Cup team Uruguay']], [[0, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Italy']], [[0, 'FIFA World Cup team Brazil'], [4, 'FIFA World Cup team Turkey']], [[0, 'FIFA World Cup team Brazil'], [5, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Brazil'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Uruguay']], [[0, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[1, 'UEFA Euro 2016 team Poland'], [0, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [3, 'FIFA World Cup team Italy']], [[1, 'UEFA Euro 2016 team Poland'], [4, 'FIFA World Cup team Turkey']], [[1, 'UEFA Euro 2016 team Poland'], [5, 'FIFA World Cup team Bulgaria']], [[1, 'UEFA Euro 2016 team Poland'], [6, 'FIFA World Cup team Brazil']], [[1, 'UEFA Euro 2016 team Poland'], [8, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Uruguay'], [1, 'UEFA Euro 2016 team Poland']], [[2, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Italy']], [[2, 'FIFA World Cup team Uruguay'], [4, 'FIFA World Cup team Turkey']], [[2, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Uruguay'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Uruguay'], [7, 'FIFA World Cup team Uruguay']], [[2, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Turkey']], [[3, 'FIFA World Cup team Italy'], [5, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Italy'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Croatia']], [[4, 'FIFA World Cup team Turkey'], [5, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team Turkey'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Turkey'], [7, 'FIFA World Cup team Uruguay']], [[4, 'FIFA World Cup team Turkey'], [8, 'FIFA World Cup team Croatia']], [[5, 'FIFA World Cup team Bulgaria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Bulgaria'], [8, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Uruguay']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Croatia']], [[7, 'FIFA World Cup team Uruguay'], [1, 'UEFA Euro 2016 team Poland']], [[7, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Italy']], [[7, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Bulgaria']], [[7, 'FIFA World Cup team Uruguay'], [8, 'FIFA World Cup team Croatia']]]	1	1
set	P54	FIFA World Cup is a member of which teams?	['South Korea', 'Netherlands', 'Belgium', 'Italy']	[[2], [5], [7], [9]]	[[[0, 'FIFA World Cup team England']], [[2, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Portugal']], [[5, 'FIFA World Cup team Italy']], [[7, 'FIFA World Cup team Belgium']], [[9, 'FIFA World Cup team Netherlands']]]	1	1
set	P54	Who plays for Argentina?	['FIFA World Cup']	[[0]]	[[[0, 'FIFA World Cup team Argentina']], [[0, 'FIFA World Cup team Argentina'], [6, 'UEFA Euro 2016 team Romania']], [[0, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Argentina'], [9, 'UEFA Euro 2016 team Romania']]]	1	1
bool	P54	Is FIFA World Cup part of Argentina?	['TRUE']	[[0]]	[[[0, 'FIFA World Cup team Argentina']], [[6, 'UEFA Euro 2016 team Romania']], [[8, 'FIFA World Cup team Austria']], [[9, 'UEFA Euro 2016 team Romania']], [[0, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Austria']], [[6, 'UEFA Euro 2016 team Romania'], [8, 'FIFA World Cup team Austria']], [[9, 'UEFA Euro 2016 team Romania'], [8, 'FIFA World Cup team Austria']]]	1	1
min/max	P118	What league has the fewest participants?	[]	[]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']]]	1	1
min/max	P54	Who has played for the fewest teams?	['Cypriot First Division']	[[4], [5], [9]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Hungary']], [[1, 'FIFA World Cup team Croatia'], [4, 'FIFA World Cup team South Korea']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [6, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [4, 'FIFA World Cup team South Korea']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Hungary'], [4, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Hungary'], [8, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Bulgaria']], [[5, 'FIFA World Cup team Austria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Bulgaria']]]	0	1
count	P54	How many teams has FIFA World Cup played for?	[2]	[[0], [1]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']]]	1	1
count	P54	How many teams has FIFA World Cup played for?	[5]	[[0], [1], [2], [6], [8]]	[[[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [2, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[0, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[0, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Bulgaria']], [[1, 'FIFA World Cup team Croatia'], [2, 'FIFA World Cup team Sweden']], [[1, 'FIFA World Cup team Croatia'], [3, 'FIFA World Cup team Hungary']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [6, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Croatia'], [8, 'FIFA World Cup team Bulgaria']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [4, 'FIFA World Cup team South Korea']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Bulgaria']], [[3, 'FIFA World Cup team Hungary'], [4, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Hungary'], [8, 'FIFA World Cup team Bulgaria']], [[4, 'FIFA World Cup team South Korea'], [1, 'FIFA World Cup team Croatia']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [6, 'FIFA World Cup team Brazil']], [[5, 'FIFA World Cup team Austria'], [8, 'FIFA World Cup team Bulgaria']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Bulgaria']]]	1	1
bool	P54	Is FIFA World Cup a member of ASIL Lysi?	['FALSE']	[[0], [1], [2], [3], [4], [5], [6], [8]]	[[], [[0, 'FIFA World Cup team Belgium']], [[1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Hungary']], [[4, 'FIFA World Cup team South Korea']], [[5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil']], [[8, 'FIFA World Cup team Bulgaria']], [[0, 'FIFA World Cup team Belgium'], [1, 'FIFA World Cup team Croatia']], [[0, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Hungary']], [[0, 'FIFA World Cup team Belgium'], [5, 'FIFA World Cup team Austria']], [[1, 'FIFA World Cup team Croatia'], [5, 'FIFA World Cup team Austria']], [[2, 'FIFA World Cup team Sweden'], [1, 'FIFA World Cup team Croatia']], [[2, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Hungary']], [[2, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Austria']], [[3, 'FIFA World Cup team Hungary'], [1, 'FIFA World Cup team Croatia']], [[3, 'FIFA World Cup team Hungary'], [5, 'FIFA World Cup team Austria']], [[4, 'FIFA World Cup team South Korea'], [5, 'FIFA World Cup team Austria']], [[6, 'FIFA World Cup team Brazil'], [1, 'FIFA World Cup team Croatia']], [[6, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Hungary']], [[6, 'FIFA World Cup team Brazil'], [5, 'FIFA World Cup team Austria']], [[8, 'FIFA World Cup team Bulgaria'], [1, 'FIFA World Cup team Croatia']], [[8, 'FIFA World Cup team Bulgaria'], [5, 'FIFA World Cup team Austria']]]	1	1
min/max	P54	Who has played for the fewest teams?	['Ýokary Liga']	[[0], [1], [4]]	[[[0, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team South Korea']], [[4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey']], [[8, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Italy'], [3, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Netherlands']], [[0, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team South Korea'], [4, 'FIFA World Cup team Netherlands']], [[3, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Sweden']], [[4, 'FIFA World Cup team Netherlands'], [8, 'FIFA World Cup team Sweden']], [[6, 'UEFA Euro 2016 team Turkey'], [0, 'FIFA World Cup team Italy']], [[6, 'UEFA Euro 2016 team Turkey'], [3, 'FIFA World Cup team South Korea']], [[6, 'UEFA Euro 2016 team Turkey'], [4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey'], [8, 'FIFA World Cup team Sweden']]]	0	1
count	P54	How many teams has Ýokary Liga played for?	[1]	None	[[]]	0	0
bool	P54	Is AIK Fotboll part of Sweden?	[]	None	[[]]	0	0
min/max	P54	Which team has the least players?	['Nisa Aşgabat', 'South Korea', 'Gazojak', 'Turkey', 'Rijeka', 'Sweden', 'FC Ararat-Armenia']	[[2], [3], [5], [6], [7], [8], [9]]	[[[0, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team South Korea']], [[4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey']], [[8, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Italy'], [3, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Italy'], [4, 'FIFA World Cup team Netherlands']], [[0, 'FIFA World Cup team Italy'], [8, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team South Korea'], [4, 'FIFA World Cup team Netherlands']], [[3, 'FIFA World Cup team South Korea'], [8, 'FIFA World Cup team Sweden']], [[4, 'FIFA World Cup team Netherlands'], [8, 'FIFA World Cup team Sweden']], [[6, 'UEFA Euro 2016 team Turkey'], [0, 'FIFA World Cup team Italy']], [[6, 'UEFA Euro 2016 team Turkey'], [3, 'FIFA World Cup team South Korea']], [[6, 'UEFA Euro 2016 team Turkey'], [4, 'FIFA World Cup team Netherlands']], [[6, 'UEFA Euro 2016 team Turkey'], [8, 'FIFA World Cup team Sweden']]]	0	1
bool	P118	Is Barcelona a participant of zone 1?	['FALSE']	None	[[]]	0	0
count	P54	How many people play for Bulgaria?	[]	None	[[]]	0	0
min/max	P118	Who has played in the fewest leagues?	[]	None	[[]]	0	0
bool	P54	Does FC Girondins de Bordeaux play for FC Aşgabat?	['FALSE']	[[7]]	[[[7, 'FC Girondins de Bordeaux team Lille']]]	1	1
min/max	P118	Who has played in the fewest leagues?	[]	None	[[]]	0	0
